# Equatorial Pacific Tree Ring Based SST Reconstruction 1100-2000 CE
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data.
# If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with '#' followed by a space
# Data lines have no '#'
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/39379
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-recon-39379.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Climate Reconstructions
#
# Dataset_DOI:
#
# Science_Keywords: sea surface temperature reconstruction, ENSO
#---------------------------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/reconstructions/cook2024/cook2024-ENSO-latlon.txt
#   Data_Download_Description: NOAA Template File; ENSO Reconstruction Grid Location Lat/Lon Data
#
#---------------------------------------
# Contribution_Date
#   Date: 2024-04-15
#---------------------------------------
# File_Last_Modified_Date
#   Date: 2024-04-15
#---------------------------------------
# Title
#   Study_Name: Equatorial Pacific Tree Ring Based SST Reconstruction 1100-2000 CE
#---------------------------------------
# Investigators
#   Investigators: Cook, Edward R.; Cane, Mark A.
#---------------------------------------
# Description_Notes_and_Keywords
#   Description: Each column number of SST values (1-2397) in the data files corresponds to its respective grid point number's coordinates in cook2024-ENSO-latlon.txt
#---------------------------------------
# Publication
#   Authors: Cook, Edward R. and Mark A. Cane
#   Published_Date_or_Year: 2024
#   Published_Title: Tree Rings Reveal ENSO in the Last Millennium
#   Journal_Name: Geophysical Research Letters
#   Volume: 
#   Edition: 
#   Issue: 
#   Pages: 
#   Report_Number: 
#   DOI: 
#   Online_Resource: 
#   Full_Citation: 
#   Abstract: 
#---------------------------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#---------------------------------------
# Site_Information
#   Site_Name: Equatorial Pacific 10N to 10S
#   Location: Pacific Ocean
#   Northernmost_Latitude: 10
#   Southernmost_Latitude: -10
#   Easternmost_Longitude: -80
#   Westernmost_Longitude: 160
#   Elevation_m: 
#---------------------------------------
# Data_Collection
#   Collection_Name: ENSO Grid Lat/Lon Cook2024
#   First_Year: 
#   Last_Year: 
#   Time_Unit: 
#   Core_Length_m: 
#   Parameter_Keywords: sea surface temperature
#   Notes: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## gridpoint	notes,,, ,,climate reconstructions,,,N,grid point number
## lat	latitude,,,degree north,,climate reconstructions,,,N,
## lon	longitude,,,degree east,,climate reconstructions,,,N,
## notes	notes,,,,,climate reconstructions,,,N,
#------------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values: NA
gridpoint	lat	lon	notes
1	9.5	-179.5	Hadley ENSO SST
2	9.5	-178.5	Hadley ENSO SST
3	9.5	-177.5	Hadley ENSO SST
4	9.5	-176.5	Hadley ENSO SST
5	9.5	-175.5	Hadley ENSO SST
6	9.5	-174.5	Hadley ENSO SST
7	9.5	-173.5	Hadley ENSO SST
8	9.5	-172.5	Hadley ENSO SST
9	9.5	-171.5	Hadley ENSO SST
10	9.5	-170.5	Hadley ENSO SST
11	9.5	-169.5	Hadley ENSO SST
12	9.5	-168.5	Hadley ENSO SST
13	9.5	-167.5	Hadley ENSO SST
14	9.5	-166.5	Hadley ENSO SST
15	9.5	-165.5	Hadley ENSO SST
16	9.5	-164.5	Hadley ENSO SST
17	9.5	-163.5	Hadley ENSO SST
18	9.5	-162.5	Hadley ENSO SST
19	9.5	-161.5	Hadley ENSO SST
20	9.5	-160.5	Hadley ENSO SST
21	9.5	-159.5	Hadley ENSO SST
22	9.5	-158.5	Hadley ENSO SST
23	9.5	-157.5	Hadley ENSO SST
24	9.5	-156.5	Hadley ENSO SST
25	9.5	-155.5	Hadley ENSO SST
26	9.5	-154.5	Hadley ENSO SST
27	9.5	-153.5	Hadley ENSO SST
28	9.5	-152.5	Hadley ENSO SST
29	9.5	-151.5	Hadley ENSO SST
30	9.5	-150.5	Hadley ENSO SST
31	9.5	-149.5	Hadley ENSO SST
32	9.5	-148.5	Hadley ENSO SST
33	9.5	-147.5	Hadley ENSO SST
34	9.5	-146.5	Hadley ENSO SST
35	9.5	-145.5	Hadley ENSO SST
36	9.5	-144.5	Hadley ENSO SST
37	9.5	-143.5	Hadley ENSO SST
38	9.5	-142.5	Hadley ENSO SST
39	9.5	-141.5	Hadley ENSO SST
40	9.5	-140.5	Hadley ENSO SST
41	9.5	-139.5	Hadley ENSO SST
42	9.5	-138.5	Hadley ENSO SST
43	9.5	-137.5	Hadley ENSO SST
44	9.5	-136.5	Hadley ENSO SST
45	9.5	-135.5	Hadley ENSO SST
46	9.5	-134.5	Hadley ENSO SST
47	9.5	-133.5	Hadley ENSO SST
48	9.5	-132.5	Hadley ENSO SST
49	9.5	-131.5	Hadley ENSO SST
50	9.5	-130.5	Hadley ENSO SST
51	9.5	-129.5	Hadley ENSO SST
52	9.5	-128.5	Hadley ENSO SST
53	9.5	-127.5	Hadley ENSO SST
54	9.5	-126.5	Hadley ENSO SST
55	9.5	-125.5	Hadley ENSO SST
56	9.5	-124.5	Hadley ENSO SST
57	9.5	-123.5	Hadley ENSO SST
58	9.5	-122.5	Hadley ENSO SST
59	9.5	-121.5	Hadley ENSO SST
60	9.5	-120.5	Hadley ENSO SST
61	9.5	-119.5	Hadley ENSO SST
62	9.5	-118.5	Hadley ENSO SST
63	9.5	-117.5	Hadley ENSO SST
64	9.5	-116.5	Hadley ENSO SST
65	9.5	-115.5	Hadley ENSO SST
66	9.5	-114.5	Hadley ENSO SST
67	9.5	-113.5	Hadley ENSO SST
68	9.5	-112.5	Hadley ENSO SST
69	9.5	-111.5	Hadley ENSO SST
70	9.5	-110.5	Hadley ENSO SST
71	9.5	-109.5	Hadley ENSO SST
72	9.5	-108.5	Hadley ENSO SST
73	9.5	-107.5	Hadley ENSO SST
74	9.5	-106.5	Hadley ENSO SST
75	9.5	-105.5	Hadley ENSO SST
76	9.5	-104.5	Hadley ENSO SST
77	9.5	-103.5	Hadley ENSO SST
78	9.5	-102.5	Hadley ENSO SST
79	9.5	-101.5	Hadley ENSO SST
80	9.5	-100.5	Hadley ENSO SST
81	9.5	-99.5	Hadley ENSO SST
