Year	Rye	Barley
1610	1.9	2.3
1611	1.9	3.4
1612	2.8	2.8
1613	2.2	2.8
1614	2.2	2.7
1615	1.7	2.2
1616	2	2.5
1617	1.4	2.5
1618	2.1	2.2
1619	1.9	2
1620	2.2	2.8
1621	1.5	3.6
1622	1.1	3.1
1623	1.5	3.1
1624	1.6	1.9
1625	2.2	3.1
1626	2.2	3.2
1627	2.5	3.9
1628	0.9	2
1629	1.7	1.8
1630	2.3	1.3
1631	2	1.8
1632	2.1	2.9
1633	1.8	2.3
1634	2.1	3.1
1635	1.9	2.8
1636	1.7	2.1
1637	3.2	3
1638	3.3	3.2
1639	3.8	3.2
1640	2.8	3.4
1641	2.5	3.8
1642	2.2	2.9
1643	2.2	2.3
1644	2.2	2.6
1645	1.9	2.6
1646	1.7	3.4
1647	1.7	4.3
1648	1.5	3.3
1649	1.1	1.6
1650	1.6	2.7
1651	1.4	2.4
1652	2.2	1.5
1653	3.2	3.6
1654	3	2.6
1655	2.6	1.6
1656	2.8	2.2
1657	2.8	1.5
1658	3.3	2
1659	2.3	3.6
