Year,Herring_Flemish,Herring_Dutch,Herring_English,Herring_Scottish,Herring_Irish,Herring_French,Herring_GermanorthSee,Herring_NorwegianBohuslen,Herring_DanishSound,Herring_DanishKattegat_,Herring_DanishLimfjord,Herring_NorwegianWestCoast,Cod_FrenchNFL,Cod_EnglishNFL,Cod_SpanishBasqueNFL,Cod_PortugueseNFL,Cod_Icelandic,Cod_DutchIcelandic,Cod_FrenchNEAtlantic,Cod_EnglishNEAtlantic,Cod_Scottish,Cod_Shetland,Cod_Faroese,Cod_Dutch_NorthSea,Cod_Norwegian
1520.00,33306.00,30754.00,3000.00,2843.00,2044.00,8285.00,1125.00,0.00,55260.00,1500.00,100.00,770.00,4243.00,235.00,397.00,260.00,11300.00,0.00,123.00,20383.00,10542.00,1739.00,494.00,4851.00,19050.00
1521.00,11649.00,10942.00,3001.00,2867.00,2126.00,8152.00,400.00,0.00,56617.00,1504.00,100.00,770.00,4647.00,158.00,400.00,260.00,11300.00,0.00,123.00,20383.00,10600.00,1739.00,497.00,4878.00,19323.00
1522.00,8423.00,8051.00,3001.00,2845.00,2208.00,8313.00,295.00,0.00,57973.00,1508.00,100.00,770.00,4701.00,118.00,387.00,260.00,11300.00,0.00,123.00,20383.00,10638.00,1739.00,495.00,4854.00,19595.00
1523.00,15240.00,14824.00,3002.00,2879.00,2290.00,8257.00,542.00,0.00,59329.00,1512.00,100.00,770.00,7183.00,163.00,647.00,390.00,11300.00,0.00,123.00,20383.00,10788.00,1739.00,523.00,5134.00,19868.00
1524.00,16754.00,16587.00,3003.00,2893.00,2372.00,8327.00,607.00,0.00,57688.00,1516.00,100.00,770.00,5667.00,115.00,528.00,260.00,11300.00,0.00,123.00,20383.00,10844.00,1739.00,526.00,5155.00,20140.00
1525.00,12677.00,12777.00,3003.00,2931.00,2455.00,9857.00,467.00,0.00,56048.00,1519.00,100.00,770.00,5407.00,101.00,519.00,260.00,11300.00,0.00,123.00,20383.00,10986.00,1739.00,552.00,5415.00,20413.00
1526.00,22721.00,23317.00,3004.00,3515.00,2410.00,8136.00,853.00,0.00,54407.00,1523.00,100.00,770.00,8094.00,155.00,878.00,520.00,11300.00,0.00,123.00,20383.00,10919.00,1739.00,520.00,5103.00,20686.00
1527.00,16794.00,17551.00,3083.00,3479.00,2366.00,8292.00,642.00,0.00,52766.00,1527.00,100.00,770.00,8250.00,147.00,899.00,520.00,11300.00,0.00,123.00,20383.00,10896.00,1739.00,501.00,4912.00,20958.00
1528.00,21858.00,23267.00,3162.00,3509.00,2321.00,7382.00,851.00,0.00,51126.00,1531.00,100.00,770.00,6682.00,109.00,716.00,390.00,11300.00,0.00,123.00,20383.00,10965.00,1739.00,507.00,4969.00,21231.00
1529.00,30643.00,33230.00,3241.00,3151.00,2276.00,8452.00,1216.00,0.00,49485.00,1535.00,100.00,770.00,9341.00,148.00,1028.00,650.00,11300.00,0.00,123.00,18632.00,10985.00,1739.00,499.00,4894.00,21503.00
