Year,Herring_Flemish,Herring_Dutch,Herring_English,Herring_Scottish,Herring_Irish,Herring_French,Herring_NorwegianBohuslen,Herring_NorwegianWestCoast,Cod_FrenchNFL,Cod_Icelandic,Cod_FrenchNEAtlantic,Cod_Scottish,Cod_Shetland,Cod_Dutch_NorthSea
1520,33306,30754,3000,2843,2044,8285,0,770,4243,11300,123,10542,1739,4851
1521,11649,10942,3001,2867,2126,8152,0,770,4647,11300,123,10600,1739,4878
1522,8423,8051,3001,2845,2208,8313,0,770,4701,11300,123,10638,1739,4854
1523,15240,14824,3002,2879,2290,8257,0,770,7183,11300,123,10788,1739,5134
1524,16754,16587,3003,2893,2372,8327,0,770,5667,11300,123,10844,1739,5155
1525,12677,12777,3003,2931,2455,9857,0,770,5407,11300,123,10986,1739,5415
1526,22721,23317,3004,3515,2410,8136,0,770,8094,11300,123,10919,1739,5103
1527,16794,17551,3083,3479,2366,8292,0,770,8250,11300,123,10896,1739,4912
1528,21858,23267,3162,3509,2321,7382,0,770,6682,11300,123,10965,1739,4969
1529,30643,33230,3241,3151,2276,8452,0,770,9341,11300,123,10985,1739,4894
1530,23688,26175,3320,3239,2232,7945,0,770,17948,11300,123,10981,1739,4754
1531,20810,23435,3399,3129,2187,9053,0,770,18576,11300,123,11061,1739,4844
1532,21378,24540,3478,3443,2143,7610,0,770,19469,11300,123,11130,1739,4904
1533,17217,20152,3557,3186,2098,9297,0,770,19568,11300,123,11152,1739,4833
1534,19173,22885,3636,3600,2054,8014,0,770,20690,11300,123,11276,1739,5044
1535,26058,31728,3715,3507,2009,9445,0,770,19883,11300,123,11394,1739,5235
1536,16037,19922,3794,4025,1965,9294,0,770,20227,11300,123,11426,1739,5193
1537,13135,16652,3873,4545,1920,7860,0,770,25650,11300,123,11458,1739,5151
1538,14335,18553,3951,4340,1876,8184,0,770,22719,11300,123,11551,1739,5275
1539,13430,17749,4030,4314,1831,9907,0,770,34109,11300,123,11697,1739,5544
1540,14168,19123,4109,5191,1787,14761,0,770,37730,11300,123,11769,1739,5611
1541,8004,11038,4188,9306,1742,6981,0,770,40980,11300,123,11916,1739,5884
1542,7725,10887,4267,7888,1576,5388,0,770,31759,11300,123,11845,1739,5561
1543,9157,13193,4346,5161,1606,7324,0,770,30378,11300,123,11917,1739,5629
1544,15209,22408,4425,4589,1635,8274,0,770,34536,11300,123,11868,1739,5366
1545,17144,25840,4504,4609,1665,7445,0,770,40235,10450,115,11926,1739,5395
1546,14146,21818,4583,4165,1667,8815,0,770,46035,9300,104,12037,1739,5568
1547,17401,27474,4662,4455,1669,8410,0,770,48711,11150,121,12024,1739,5404
1548,22841,36933,4741,4546,1671,8268,0,770,51352,10900,119,12096,1739,5470
1549,14695,24343,4820,4560,1673,8269,0,770,53964,10950,119,12152,1739,5494
1550,18185,30875,4899,4574,1675,9076,0,770,77878,11000,119,12201,1739,5499
1551,18054,31725,4978,5036,1655,11486,0,770,76327,11350,123,12321,1739,5697
1552,12149,22115,5057,7015,1636,8323,0,770,74700,10800,117,12323,1739,5574
1553,11951,22555,5136,7080,1617,7113,0,770,73002,9950,109,12449,1739,5787
1554,15912,31168,5215,6106,1598,9999,0,770,73127,12100,129,12566,1739,5977
1555,15562,31669,5294,7402,1579,6005,0,770,76838,11550,124,12614,1739,5980
1556,16723,35396,5373,5388,1559,6862,0,770,69262,12500,133,12819,1739,6408
1557,14832,32694,5452,4481,1540,10093,1,770,66646,11350,122,12600,1739,5683
1558,6753,15522,5531,5481,1521,7864,1129,770,65550,11100,119,12976,1739,6578
1559,12940,31055,5610,5223,1502,6937,2257,770,111393,11450,122,12777,1739,5906
1560,12914,32413,5689,4390,1553,10600,3385,770,115674,11200,120,12819,1739,5893
1561,18365,45963,5768,5637,1605,6928,4513,770,92366,12150,129,12773,1739,5638
1562,22368,55825,5846,4731,1656,9758,5641,770,80194,11300,121,12984,1739,6082
1563,22866,56906,5925,5591,1708,9334,6769,770,78806,10150,110,13070,1739,6187
1564,14469,35908,6004,6320,1654,8418,7897,770,111326,10800,116,13313,1739,6721
1565,20089,49718,6083,6442,1600,6172,9025,770,126735,8150,91,13317,1739,6604
1566,19931,49190,6168,4814,1547,8367,10153,770,91049,8500,94,13089,1739,5854
1567,14452,35570,6252,4876,1556,7747,11281,770,89010,10950,117,13250,1739,6163
1568,16999,41723,6337,4573,1565,8288,12409,770,80895,10400,112,13321,1739,6228
1569,19298,47237,6421,4587,1575,8887,13537,770,74337,9550,104,13378,1739,6254
1570,22564,55080,6506,4933,1584,8415,14664,770,74732,10500,112,13570,1739,6647
1571,17704,43100,6590,5022,1593,8527,15792,770,95162,10250,110,13570,1739,6517
1572,12554,30480,6675,5181,1602,8284,16920,770,98559,9700,105,13626,1739,6543
1573,10109,24477,6759,5192,1612,8425,18048,770,90279,10950,116,13814,1739,6926
1574,11083,26765,6844,5291,1621,9224,19176,770,79258,12200,128,13997,1739,7296
1575,9424,22698,6928,5902,1630,8699,20304,770,72829,11350,120,13801,1739,6631
1576,8499,20417,7013,6209,1640,9061,21432,770,77944,9900,106,13870,1739,6692
1577,13411,32131,7097,6802,1649,6570,22560,770,68429,9950,106,13916,1739,6687
1578,20736,49552,7182,5403,1658,9528,23688,770,73979,9700,104,13998,1739,6783
1579,9794,23344,7266,6223,1668,10123,24816,770,85429,10050,107,14057,1739,6813
1580,13919,33089,7351,7613,1677,5084,25944,770,91365,11300,118,14208,1739,7096
1581,9147,33716,7435,4703,1686,15144,28376,770,84343,13150,136,14095,1739,6658
1582,12726,32083,7861,8702,1695,3430,20705,770,87165,12000,125,14380,1739,7306
1583,11175,30559,8286,3666,1706,8211,27938,770,92949,12650,131,13937,1739,5970
1584,10936,35683,8712,3718,1716,7892,19348,770,105811,13000,134,13993,1739,5994
1585,20143,30872,8534,3644,1607,8129,48130,770,102424,13650,140,14050,1739,5736
1586,29349,31801,8355,3699,1621,7936,17943,770,100551,14000,143,14106,1739,5478
1587,25293,32956,8177,3686,1733,7891,12051,770,79261,13450,138,14162,1739,5219
1588,19884,32861,7998,3673,2224,7847,9941,770,89587,13500,138,14218,1739,4961
1589,20680,33952,7820,3660,2714,18028,2879,770,85353,14150,144,14274,1739,4135
1590,9544,34855,7642,8427,3205,5730,278,770,87197,13300,136,14535,1739,3686
1591,13919,34500,7463,6202,2816,7605,0,770,89757,14850,150,14452,1739,3758
1592,19089,33987,7285,6092,1635,7500,0,770,88840,14000,142,14592,1739,4187
1593,20680,36190,8036,5936,1639,9056,0,770,88415,13750,140,14603,1739,4398
1594,17498,36772,8336,7025,1646,6512,0,770,88498,13200,134,14702,2147,4775
1595,18294,44944,8336,5897,1647,8100,0,770,89382,12950,132,14757,2147,5071
1596,19089,35367,7360,6077,1652,9895,0,770,91914,13900,141,14956,2147,5685
1597,19089,37009,8487,7551,0,8239,0,770,75935,13650,138,14993,2147,5958
1598,20680,37979,7360,7713,0,7942,0,770,63012,14000,141,14872,2147,5849
1599,19884,50693,8637,7498,0,4903,0,770,51751,13750,139,14858,2147,5973
1600,28633,55284,7811,4443,0,8288,0,770,63332,14400,145,15493,2147,6511
1601,14317,57422,7811,4490,0,8276,0,770,72004,15350,154,16426,2141,7131
1602,0,79087,8487,4536,0,8264,0,770,81249,13300,134,14370,2544,6098
1603,0,71073,8937,4583,1829,8252,0,770,87374,13516,136,14572,2130,7006
1604,0,54633,9012,4629,2027,8240,0,770,86880,13732,138,14774,2124,7914
1605,39,49332,8562,4676,2224,8228,0,770,86367,13949,140,14976,2118,8822
1606,81,51211,8186,4723,2422,8216,0,770,85836,14165,142,15178,2112,9731
1607,154,64489,8111,4769,2620,8204,0,770,88761,14381,144,15380,2106,10639
1608,213,66919,7510,4816,2817,8192,0,770,91689,14597,146,15582,2101,11547
1609,241,60367,7135,4863,3015,8180,0,770,94351,14814,148,15784,2503,12455
1610,287,59752,6909,4909,3213,8168,0,770,98628,15030,149,15986,2497,13363
1611,353,62867,6309,4956,3410,8156,0,770,93774,15246,151,16188,2083,14272
1612,449,69782,6459,5002,3608,8144,0,770,97455,15462,153,16390,2077,15180
1613,410,56524,6234,5049,3806,8132,0,770,105043,15679,155,16592,2071,16088
1614,466,57599,6158,5096,4003,8120,0,770,146438,15895,157,16794,2066,13780
1615,459,51448,5107,5142,4201,8109,0,770,107223,16111,159,16996,2060,10542
1616,496,50843,5107,5189,4399,8097,0,770,149505,16327,161,17198,2054,10817
1617,574,54187,4732,5236,4428,8085,0,770,174507,16543,163,17400,2048,11093
1618,474,41451,3455,5282,4457,8073,0,770,151831,16760,164,17602,3266,10886
1619,835,67892,3680,5329,4486,8471,0,770,153234,16976,166,17804,2037,11265
1620,656,49930,3079,5375,4516,8048,0,770,177003,17192,168,18006,1623,12609
1621,759,54178,3455,5422,4545,8036,0,770,156881,17408,170,18208,2025,17948
1622,499,33536,3305,5469,4566,8024,0,770,155697,17625,172,18410,2835,21772
1623,882,56053,3455,5515,4588,8012,0,770,154472,17841,174,18612,2829,15020
1624,990,59579,3380,5562,4609,8000,0,770,157384,18057,176,18814,2823,13229
1625,987,56449,3455,5608,4631,7988,0,770,159923,24549,236,25269,3634,12996
1626,587,31980,3004,5655,4652,7976,0,770,162445,22471,217,23185,2812,8371
1627,511,26533,4694,5702,4831,7964,0,770,156197,20394,197,21102,2806,7407
