"","Region","famine_id","start_year","duration","avg_PDSI","avg_PDSI_europe","avg_temp_summer","avg_temp_winter","avg_precip_summer","avg_precip_winter","avg_temp_summer_europe","avg_temp_winter_europe","avg_precip_summer_europe","avg_precip_winter_europe","avg_ongoing_wars","avg_Deaths","avg_Death_ratio","avg_JSL","avg_NAO_cal","n_first","max_nino_first_n","avg_nino_first_n","avg_nino34","avg_2y_nino","max_2y_nino"
"1","Central Europe",1,1516,3,-1.93506425380292,-0.648321933473484,0.172926981574363,-0.513525767372474,1.91994812261608,5.27283415945216,-0.143195362352512,-0.264921976503641,2.0021072958606,4.60743394451911,5.66666666666667,3891.66666666667,633.125,-0.563119527333333,-0.0809033333333333,1,-0.56497998,-0.56497998,-0.268877313333333,-0.52593298,-0.48688598
"2","Central Europe",2,1530,2,0.117185614183274,-0.248029178530526,-0.454733398373703,1.43126331505149,4.81095510362019,4.77918170960024,-0.258678631604367,0.379068792997241,2.82106095117493,6.79195688854332,7,11955,1770,0.837422194,-0.3149925,1,0.52533202,0.52533202,0.29938002,0.29938002,0.52533202
"3","Central Europe",3,1565,2,0.0729636176292207,0.0578023619175292,-0.188926132583452,-0.694353346282212,6.38434963045115,8.29921841809498,-0.0700254745831875,0.053364700562427,4.05281537523614,6.12750487661318,12,20160.3715728716,1680.03096440596,1.2196550925,-0.4463725,1,1.22473202,1.22473202,0.42418002,0.42418002,1.22473202
"4","Central Europe",4,1569,6,-0.39582455311789,-0.202320198030491,-0.266206437302651,-1.09261734768122,2.729136750338,5.9289355114219,-0.111021530773504,-0.299514744535439,3.04686767353487,6.32559129751239,13,21664.5202020202,1705.45337711531,-0.881980936333333,-0.200671483333333,3,0.39434602,-0.167730646666667,-0.135874646666666,0.13781202,0.39434602
"5","Central Europe",5,1594,5,0.345060171286739,0.0874016326875166,-0.778463458404532,-0.151977935906405,6.72202605998505,5.94505710938137,-0.283685369400159,-0.10393243344234,3.6460924695298,5.80594272294563,15.8,21061.7691957166,1342.38417969527,-0.982149561,-0.5035138,2,1.47202802,1.03583702,0.71887362,1.03583702,1.47202802
"6","Central Europe",6,1602,1,-0.85467052696327,0.0426864215262135,-0.256873936622076,0.544131178218964,1.74801876391744,4.88079191213472,-0.319700098180168,0.14724863835694,2.78864931027213,4.42523110707878,9,23716.7691957166,2635.19657730184,0.555353664,0.377236,1,0.0342100200000002,0.0342100200000002,0.0342100200000002,0.0342100200000002,0.0342100200000002
"7","Central Europe",7,1620,4,-0.276073473925661,-0.11939375212002,-0.309102300852012,-0.888046320050483,5.51162339371108,0.835072074292114,-0.182121245250401,-0.468388466037141,4.01555729823466,3.42066477054643,11,310821.162954429,28658.525877622,0.05212324275,0.174331,2,1.15598802,1.08510802,0.42706052,1.08510802,1.15598802
"8","Central Europe",8,1625,6,0.510603117473999,-0.154739179121255,-0.752724990721676,0.819644018859472,8.05703418342153,6.50630822327455,-0.260118206358358,0.162629937073186,3.594715293745,6.17709182240021,14.6666666666667,416087.373271889,28253.817348662,-0.283772866666667,0.0463196166666667,3,0.86272002,-0.197433313333333,-0.0149169799999998,-0.72750998,-0.39741998
"9","Central Europe",9,1635,2,-2.4324545595088,-0.601849981189053,-0.138224720075575,-1.11816714580007,1.05991214904959,3.49349101472951,-0.00339623522316879,-0.366826573060771,2.45239183102704,7.33353991330973,10,291046.658986175,29104.6658986175,2.656412657,0.4572765,1,1.64276802,1.64276802,1.01950902,1.01950902,1.64276802
"10","Central Europe",10,1651,2,-0.872469129537573,-0.382543450883641,-0.326097462536706,0.34665587256696,9.43722307840006,11.5432944815864,-0.0671379909394504,0.189940878227439,3.67090290799972,5.38989621228571,11,34801.6666666667,3135.90277777778,-1.490835895,0.075748,1,1.58624402,1.58624402,0.56363802,0.56363802,1.58624402
"11","Central Europe",11,1661,2,-0.409645649924113,-0.0509531963956787,0.364580236552746,1.72370447301021,-3.24744267888914,3.93789958764894,-0.0182485627262367,0.484426550779021,3.47281400001034,5.79661632982544,6,21836.1904761905,3765.93197278912,1.6485484295,0.3280405,1,1.38201602,1.38201602,0.49639602,0.49639602,1.38201602
"12","Central Europe",12,1691,5,-0.142869963791626,-0.0943284276505735,-0.84921607465329,-1.39617040052184,6.58441806951554,-3.47613318409716,-0.288545116688721,-0.466752008044636,2.98111275542813,3.33769452998612,2.6,81588.2352941177,32568.6274509804,-1.2228276702,0.2278018,2,1.45055402,0.75971002,0.82760202,0.75971002,1.45055402
"13","Central Europe",13,1698,4,-0.196360258118201,-0.215183241445779,-0.854795185091043,-0.614154021020234,8.29125008494253,5.02888414720423,-0.351995997630426,-0.284294010691455,3.07299744327346,5.12346142682588,3.75,54743.7929717341,14260.7031448943,-1.98872341625,0.6316045,2,0.16586002,0.14832902,0.12774552,0.14832902,0.16586002
"14","Central Europe",14,1709,4,0.231798001255782,0.201720525868883,0.0750135777751437,-0.646224596505908,-0.386921348442211,-3.83273083628255,-0.0507562663308527,-0.319429091852725,3.37729823206327,3.96294009821026,7.5,126535.064935065,17211.5291950113,-0.68068708675,-0.15503685,2,0.83404402,0.46531102,0.38343602,0.46531102,0.83404402
"15","Central Europe",15,1714,2,0.57541235367953,-0.0472908825409912,-0.113232289403516,0.197921495124414,1.33467402074786,-8.34145567062219,-0.184815402666224,0.164645029587227,3.63878501128972,1.71309277899879,8,89816.0173160173,12065.8283515426,-0.195493664,-0.16312,1,-0.0948159799999999,-0.0948159799999999,-0.39584598,-0.39584598,-0.0948159799999999
"16","Central Europe",16,1719,3,-0.725929771580655,0.141908171517607,-0.0462998238044618,0.698261054851353,0.66108493690557,10.2726418216249,-0.207752004627683,0.163779173178109,2.63444716639185,5.98034105238194,5.66666666666667,41255.303030303,8285.65340909091,-0.161743850666667,0.0566916666666667,1,0.61044802,0.61044802,0.441010686666667,0.54767902,0.61044802
"17","Central Europe",17,1724,2,0.914910514259752,0.180777811291577,-0.164701232618633,0.958454681756357,0.505111487943308,-0.499636434296468,-0.236857807512841,0.27143339368877,2.86964093539146,4.02236080331193,0.5,0,0,0.258420062,0.03432375,1,0.11464202,0.11464202,-0.40041898,-0.40041898,0.11464202
"18","Central Europe",18,1739,3,-0.639461317741132,-0.374043061545878,-1.36611113966165,-1.28742772327879,-4.34469305206694,-0.846259265487285,-0.699844313968619,-0.270798200493978,1.8366130547518,5.70060266725138,3.33333333333333,47442.2222222222,16027.2222222222,-2.469296807,-0.482218066666667,1,0.24871802,0.24871802,0.339417353333334,0.26113102,0.27354402
"19","Central Europe",19,1748,2,-0.854586912670123,-0.218277753741652,-0.313869765330944,0.617641019632828,4.99120712569481,2.01656544165081,-0.177150716754538,0.0158706469976703,2.35082978285711,1.98505663893873,0.5,18348.3333333333,18348.3333333333,-0.5344971815,0.018147,1,-0.63739198,-0.63739198,0.0844830200000002,0.0844830200000002,0.80635802
"20","Central Europe",20,1755,4,-0.95812822825976,-0.190547587982757,0.248114217529256,-0.365318747299905,4.86690338334255,-0.961256885282528,0.0893147392274554,-0.176835807079715,3.33166033889477,4.06783546771649,2.5,92625,41166.6666666667,1.177372505,0.141195625,2,0.78052402,0.41280902,-0.0334434799999997,0.41280902,0.78052402
"21","Central Europe",21,1770,3,0.582677148744814,-0.0287500086059255,-0.740433952257407,0.165808943101356,6.72983355867657,4.75762054762143,-0.446512069992978,-0.00198466345420283,2.8119687256482,4.04621309945059,3.66666666666667,6300,1750,1.451524177,0.0218186666666667,1,0.91653602,0.91653602,0.641656686666667,1.10473902,1.29294202
